127.0.0.1 - - [16/Apr/2024:16:27:15 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:23 -0500] "GET /proyect/pagina.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:23 -0500] "GET /proyect/dise%C3%B1o.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:24 -0500] "GET /favicon.ico HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:42 -0500] "GET /proyect/pagina.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:42 -0500] "GET /proyect/estilos.css HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:42 -0500] "GET /proyect/cuidado-de-herramientas-carpinteria.jpg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:27:42 -0500] "GET /favicon.ico HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:23 -0500] "GET /proyect/pagina.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:23 -0500] "GET /proyect/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:23 -0500] "GET /proyect/cuidado-de-herramientas-carpinteria.jpg HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:23 -0500] "GET /favicon.ico HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:37 -0500] "GET /proyect/pagina.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:37 -0500] "GET /proyect/estilos.css HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:37 -0500] "GET /proyect/media/cuidado-de-herramientas-carpinteria.jpg HTTP/1.1" 200 217577
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:28:37 -0500] "GET /favicon.ico HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:30:01 -0500] "GET /proyect/pagina.jsp HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:30:04 -0500] "GET /proyect/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:30:04 -0500] "GET /proyect/media/cuidado-de-herramientas-carpinteria.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:30:04 -0500] "GET /favicon.ico HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [16/Apr/2024:16:30:07 -0500] "POST /proyect/respuesta.jsp HTTP/1.1" 200 133
